Sigm 2289;18h11m;+16°29';HERCULES;double star;6.1 and 7.2;1.2;Double stars Yellow and Blue
Zeta Her.;16h42m;+31°35';HERCULES;double star;2.9 and 5.3;1.6;Double stars Yellow and Purple
Epsilon Hyd.;8h47m;+6°23';HYDRA;double star;3.4 and 6.7;3.8;Double stars Yellow and Blue
54 Leonis;10h56m;+24°42';LEO;double star;4.3 and 6.3;6.6;Double stars Green and Blue
83 Leonis;11h27m;+2°58';LEO;double star;6.5 and 7.4;28;Double stars Orange and Yellow
49 Leonis;10h36m;+8°36';LEO;double star;5.7 and 7.8;2.6;Double stars White and Blue
Tau Leonis;11h28m;+2°48';LEO;double star;4.9 and 7.4;88;Double stars Yellow and Blue
88 Leonis;11h32m;+14°19';LEO;double star;6.3 and 8.8;15;Double stars Yellow and Blue
Al Gieba;10h20m;+19°48';LEO;double star;2.1 and 3.6;4.6;Double stars Yellow and Orange
Kappa Lep.;5h14m;-12°56';LEPUS;double star;4.3 and 6.8;2.1;Double stars Yellow and Blue
Gamma Lep.;5h45m;-22°27;LEPUS;double star;3.6 and 6.1;92;Double stars Yellow and Orange
Zuben El Gen;14h51m;-16°05;LIBRA;double star;2.8 and 5.1;231;Double stars : White
Mu Librae;14h50m;-14°11';LIBRA;double star;5.3 and 6.6;2;Double stars Blue and White
38 Lyncis;9h19m;+36°46';LYNX;double star;3.8 and 6.1;1.3;Double stars Green and Blue
12 Lyncis;6h47m;+59°36;LYNX;multiple star;5.4 and 5.9;1.8;Multiple stars : 2 Green and Blue
19 Lyncis;7h24m;+55°16';LYNX;multiple star;5.8 and 6.8;14;Multiple stars : Green, Blue and White
Zeta1&2 Lyr.;18h45m;+37°37';LYRA;double star;4.3 and 5.7;43;Double stars : Yellow
OSigm 525;18h55m;+33°58';LYRA;double star;5.9 and 7.6;45;Double stars Yellow and Blue
Db-Db's Dbl;19h09m;+34°46';LYRA;multiple star;6.9 and 8.5;13;Multiple stars : 3 White and Yellow
Dble-Double;19h09m;+34°46';LYRA;multiple star;4.6 and 6.1;1.8;Multiple stars : 4 White
